,area,bedroom,price,location
1,26,5,21000000,คลองเตย
2,55,4,78000000,คลองเตย
3,24,3,13500000,คลองเตย
4,34,3,44000000,คลองเตย
5,33,3,21900000,คลองเตย
6,23,5,13900000,คลองเตย
7,70.2,5,20500000,จตุจักร
8,99,7,65000000,จตุจักร
9,113,4,19000000,จตุจักร
10,148,5,38000000,จตุจักร
11,46,3,35500000,จตุจักร
12,151,5,48500000,จตุจักร
13,148,5,37990000,จตุจักร
14,34.1,3,7600000,จตุจักร
15,110,5,16500000,จตุจักร
16,64,4,48000000,จตุจักร
17,24.9,3,17000000,จตุจักร
18,110,6,17000000,จตุจักร
19,91,5,45000000,จตุจักร
20,101,4,34500000,จตุจักร
21,45,5,8900000,จตุจักร
22,78,5,16000000,จตุจักร
23,70,5,20500000,จตุจักร
24,29.7,3,25900000,จตุจักร
25,60.1,5,14290000,ดอนเมือง
26,61.2,4,15990000,ดอนเมือง
27,51,2,6000000,ดอนเมือง
28,333,4,32000000,ดอนเมือง
29,54,3,16900000,ดอนเมือง
30,39.3,3,5890000,ดอนเมือง
31,81,4,25400000,ดอนเมือง
32,81,4,25400000,ดอนเมือง
33,17,2,1990000,ดอนเมือง
34,70,4,9900000,ดอนเมือง
35,155,4,55000000,ดอนเมือง
36,56.2,3,4900000,ดอนเมือง
37,55,3,36000000,ดอนเมือง
38,100,3,36000000,ดอนเมือง
39,17.9,3,3400000,ดอนเมือง
40,35,2,2300000,ดอนเมือง
41,52.5,3,4500000,ดอนเมือง
42,20,2,6500000,ดอนเมือง
43,20,2,6500000,ดอนเมือง
44,50.5,3,6590000,ดอนเมือง
45,87,5,20900000,ดอนเมือง
46,54,3,16900000,ดอนเมือง
47,23,3,5600000,ดอนเมือง
48,17.7,3,3990000,ดอนเมือง
49,39,3,5890000,ดอนเมือง
50,84,4,15288000,ดอนเมือง
51,73.5,3,9700000,ดอนเมือง
52,92.6,4,16390200,ดอนเมือง
53,18,2,3990000,ดอนเมือง
54,21.4,3,2590000,ดอนเมือง
55,28,3,3800000,ดอนเมือง
56,54.7,3,23998000,ดอนเมือง
57,28.3,3,6500000,ดอนเมือง
58,52.5,4,4990000,ดอนเมือง
59,22.2,3,7500000,ดอนเมือง
60,66.2,4,8900000,ดอนเมือง
61,35,5,8500000,ดอนเมือง
62,68.3,5,16999999,ดอนเมือง
63,25,2,1950000,ดอนเมือง
64,25,2,1950000,ดอนเมือง
65,54,2,5900000,ดอนเมือง
66,18,2,2300000,ดอนเมือง
67,36,3,3200000,ดอนเมือง
68,80,4,26100000,ดอนเมือง
69,84,4,12300000,ดอนเมือง
70,23,3,2590000,ดอนเมือง
71,120,5,39400000,ดอนเมือง
72,60,4,15000000,ดอนเมือง
73,62,3,15500000,ดอนเมือง
74,400,6,48000000,ดอนเมือง
75,387,6,50000000,ดอนเมือง
76,52.5,3,11900000,ดอนเมือง
77,70.4,3,6900000,ดอนเมือง
78,50,4,9200000,ดอนเมือง
79,73,5,6800000,ดอนเมือง
80,19,2,2000000,ดอนเมือง
81,21,3,3000000,ดอนเมือง
82,23.2,3,2790000,ดอนเมือง
83,52,3,7100000,ดอนเมือง
84,81,4,25400000,ดอนเมือง
85,120,3,18500000,ดอนเมือง
86,18,2,3990000,ดอนเมือง
87,35.8,3,6190000,ดอนเมือง
88,17.5,2,2090000,ดอนเมือง
89,35.4,6,10300000,ดอนเมือง
90,22.2,3,2790000,ดอนเมือง
91,39.3,3,6900000,ดอนเมือง
92,126,3,16900000,ดอนเมือง
93,64.6,3,6490000,ดอนเมือง
94,22.7,3,3500000,ดอนเมือง
95,32.6,1,13500000,ดอนเมือง
96,22.5,3,11000000,ดอนเมือง
97,25.4,3,3000000,ดอนเมือง
98,24.9,3,5390000,ดอนเมือง
99,17.1,3,2600000,ดอนเมือง
100,20.1,3,6990000,ดอนเมือง
101,17.9,3,3890000,ดอนเมือง
102,128.4,3,17800000,ดอนเมือง
103,67,3,7370000,ดอนเมือง
104,70.4,3,5990000,ดอนเมือง
105,89,6,89000000,ดอนเมือง
106,144,3,18000000,ดอนเมือง
107,20,2,1690000,ดอนเมือง
108,26,3,7350000,ดอนเมือง
109,24,3,3300000,ดอนเมือง
110,21.4,3,2300000,ดอนเมือง
111,42,3,7500000,ดอนเมือง
112,69.6,4,4300000,ดอนเมือง
113,32.6,3,13500000,ดอนเมือง
114,35,3,6190000,ดอนเมือง
115,81,4,25400000,ดอนเมือง
116,128.2,5,39490000,ดอนเมือง
117,131,5,39000000,ดอนเมือง
118,136.9,5,75000000,ดอนเมือง
119,51.2,3,3200000,บางขุนเทียน
120,50,3,3000000,บางขุนเทียน
121,148,5,23000000,บางขุนเทียน
122,158,5,29900000,บางขุนเทียน
123,45,4,3250000,บางขุนเทียน
124,135,4,18000000,บางขุนเทียน
125,50.6,3,4690000,บางขุนเทียน
126,19.4,3,2850000,บางขุนเทียน
127,18.5,3,2790000,บางขุนเทียน
128,218.6,5,32000000,บางขุนเทียน
129,98,3,3680000,บางขุนเทียน
130,129.8,4,18000000,บางขุนเทียน
131,129.8,4,18000000,บางขุนเทียน
132,32.4,4,4200000,บางขุนเทียน
133,54,3,5500000,บางขุนเทียน
134,63.8,3,6500000,บางขุนเทียน
135,18,1,3490000,บางขุนเทียน
136,53.6,3,6990000,บางขุนเทียน
137,21,4,2900000,บางขุนเทียน
138,158,5,29900000,บางขุนเทียน
139,19.6,3,4890000,บางขุนเทียน
